Date,MACD,SIGNAL
2022-10-28,0.0,0.0
2022-10-31,2.894230769245887e-05,1.6079059829143816e-05
2022-11-01,0.0002533276270066942,0.00011331207916420543
2022-11-02,0.0003802240244710209,0.0002037294048101456
2022-11-03,0.0007018125303122069,0.00035189787384336225
2022-11-04,0.0011714282564658784,0.0005740361725418931
2022-11-07,0.0006138857608926074,0.000584121040263179
2022-11-08,-0.00019929913716976166,0.0003958504394063414
2022-11-09,-0.0010650019894040685,5.838628102486566e-05
2022-11-10,-0.0013509520776926465,-0.00025738732330730463
2022-11-11,-0.0024395280699376354,-0.0007348272500572869
2022-11-14,-0.003915784087916152,-0.001417963374650569
2022-11-15,-0.004909526345106885,-0.0021568994067136323
2022-11-16,-0.005798812941349207,-0.002918790435448432
2022-11-17,-0.006600209843519833,-0.0036819247175996646
2022-11-18,-0.006937939929215653,-0.004351988375163609
2022-11-21,-0.006931179420420652,-0.004879709814605139
2022-11-22,-0.006333361906238122,-0.00517577364475225
2022-11-23,-0.00619398059298093,-0.005382392729219796
2022-11-24,-0.006649963294164785,-0.0056388637517809865
2022-11-25,-0.006872945834715205,-0.005887977840285731
2022-11-28,-0.006711480800897562,-0.006053902742087696
2022-11-29,-0.0063674185472319955,-0.006116978235109225
2022-11-30,-0.005889605575712831,-0.006071287936897077
2022-12-01,-0.0061000569421229,-0.006077063557620419
2022-12-02,-0.0068517279179779456,-0.006232466105072045
2022-12-05,-0.007457974500124975,-0.006478161839917878
2022-12-06,-0.007538432457554922,-0.006690626930699707
2022-12-07,-0.007330441610511773,-0.006818788186599825
2022-12-08,-0.007374963979955407,-0.006930161218406311
2022-12-09,-0.007630003911859751,-0.0070702685126404615
2022-12-12,-0.007492946221308916,-0.007154871083436433
2022-12-13,-0.007429589959461413,-0.007209849705483048
2022-12-14,-0.00785875413079018,-0.007339696430656116
2022-12-15,-0.008431624651232483,-0.007558170698463141
2022-12-16,-0.008545773105474996,-0.007755755299734541
2022-12-19,-0.008164401099369334,-0.007837505683274482
2022-12-20,-0.007971587703807348,-0.007864327658087276
2022-12-21,-0.007812862770887996,-0.007854032970148993
2022-12-22,-0.007484358038792216,-0.007780088154925782
2022-12-23,-0.007095362426636664,-0.007643128445213525
2022-12-26,-0.007147615971725529,-0.007544017519090793
2022-12-27,-0.006919309535308171,-0.0074190674186710845
2022-12-28,-0.0066404205624386314,-0.007263329568249496
2022-12-29,-0.00629178033426514,-0.00706901125769651
2022-12-30,-0.006162559004817325,-0.006887714489850321
2023-01-02,-0.00632455659825315,-0.006775079771733201
2023-01-03,-0.006160866622999639,-0.00665223440244321
2023-01-04,-0.0050550509757065765,-0.006332792018053307
2023-01-05,-0.004547161216102991,-0.00597566076051561
2023-01-06,-0.003506923613794899,-0.005481907693508064
2023-01-09,-0.0035899592510217904,-0.005103514548622054
2023-01-10,-0.004141630552125797,-0.004911136343517494
2023-01-11,-0.004565751085955139,-0.004842058888177767
2023-01-12,-0.005029977936692687,-0.004879642873653731
2023-01-13,-0.005971122639959803,-0.005097939643660127
2023-01-16,-0.0064012706533616015,-0.005358606625817195
2023-01-17,-0.00670224555324106,-0.005627335054778716
2023-01-18,-0.006612725841744327,-0.005824413589699308
2023-01-19,-0.00649795445650736,-0.00595912196950091
2023-01-20,-0.006577503221792069,-0.00608279837158597
2023-01-23,-0.006774501550425693,-0.006221139143038148
2023-01-24,-0.006913305474433251,-0.006359572517937215
2023-01-25,-0.007035878990577338,-0.006494833897370184
