Date,MACD,SIGNAL
2022-10-28,0.0,0.0
2022-10-31,0.0001339423076924806,7.441239316248922e-05
2022-11-01,0.00032571878660137,0.0001774068167030141
2022-11-02,0.0003432210495282195,0.00023357694977388312
2022-11-03,0.0004879622894780056,0.00030925083712042117
2022-11-04,0.0009993916722759177,0.0004963173745357153
2022-11-07,0.0005545300361173844,0.0005110494462095396
2022-11-08,-0.00012649954928423135,0.0003578344334808688
2022-11-09,-0.0008159634120364911,8.66813079252188e-05
2022-11-10,-0.0013421131134561115,-0.00023345158386653438
2022-11-11,-0.0026938880771958384,-0.0007717810298301453
2022-11-14,-0.00479415177511322,-0.0016356175742013863
2022-11-15,-0.006336182773474697,-0.0026304204822958084
2022-11-16,-0.0074249270200617,-0.00363343482725326
2022-11-17,-0.00806403653426735,-0.004551869723795383
2022-11-18,-0.007944240464008656,-0.005249994332639593
2022-11-21,-0.00771406692382659,-0.005754161690501999
2022-11-22,-0.007121537342645978,-0.006032653686732594
2022-11-23,-0.007050404243997166,-0.006239180158314982
2022-11-24,-0.007587764996092372,-0.006512043020486522
2022-11-25,-0.0077353566631802595,-0.00675898337175594
2022-11-28,-0.007488478198974913,-0.006905966884093795
2022-11-29,-0.007112442666501906,-0.006947507251624559
2022-11-30,-0.0063569515655288455,-0.00682883570386581
2022-12-01,-0.006419651179906283,-0.006746688455544197
2022-12-02,-0.006919148120471341,-0.006781284950018221
2022-12-05,-0.007223222262020879,-0.006869886638155654
2022-12-06,-0.006957826030007053,-0.006887508602361967
2022-12-07,-0.006689303730923135,-0.00684780619156923
2022-12-08,-0.0065298689038869595,-0.0067841399190048165
2022-12-09,-0.006652225154854308,-0.006757730811861808
2022-12-12,-0.006734914576549067,-0.0067531639465557925
2022-12-13,-0.0066662042672709365,-0.006735760980258484
2022-12-14,-0.0070389315208162495,-0.006796425849113005
2022-12-15,-0.007595825523079802,-0.006956370665231854
2022-12-16,-0.007696572165132531,-0.007104459022631546
2022-12-19,-0.007162666083955882,-0.007116103457964663
2022-12-20,-0.007106211308985366,-0.007114124617179652
2022-12-21,-0.007173762438563491,-0.007126054163592303
2022-12-22,-0.007135885573487322,-0.007128020706969757
2022-12-23,-0.006664175008569306,-0.0070352417013335306
2022-12-26,-0.00607396678953509,-0.006842970362337261
2022-12-27,-0.005609322318730459,-0.006596223960925999
2022-12-28,-0.005398402125916357,-0.006356646550089124
2022-12-29,-0.005286843708902644,-0.006142676662148799
2022-12-30,-0.005516250811190115,-0.006017387126253912
2023-01-02,-0.00555888760251344,-0.005925684665214296
2023-01-03,-0.00551310497730384,-0.005843166887424268
2023-01-04,-0.00449298817935162,-0.005573126328125174
2023-01-05,-0.004128238168084497,-0.005284144571631586
2023-01-06,-0.0033067058779605585,-0.00488865231717412
2023-01-09,-0.003328076649952383,-0.004576534332723864
2023-01-10,-0.0037731943650911592,-0.004415865165106066
2023-01-11,-0.003975773635737867,-0.004327846344673826
2023-01-12,-0.0034059598357168985,-0.004143468180581676
2023-01-13,-0.0032137650513095473,-0.0039575268590381725
2023-01-16,-0.003064366935930374,-0.003778894339741732
2023-01-17,-0.00301731539854877,-0.0036265781867784123
2023-01-18,-0.003220082893078069,-0.003545278972299989
2023-01-19,-0.003814834762291386,-0.003599190212917004
2023-01-20,-0.004272020303588309,-0.0037337563960289258
2023-01-23,-0.00423398474982839,-0.0038338021649134235
2023-01-24,-0.004014921052747367,-0.0038700259709027766
2023-01-25,-0.003747585011857457,-0.0038455377637222157
2023-01-26,-0.003917930721683449,-0.0038600163625851537
2023-01-27,-0.003750517985151136,-0.0038381166783004917
2023-01-30,-0.0035242183945496386,-0.003775337001373711
2023-01-31,-0.002955891814163003,-0.003611447921794034
